Num_Satelites,Num_Telescopios,ID_Detector,Altura_nominal_km,Diametro_Pupila_mm,Factor_inferior,Factor_reset,T_ciclo_dias,N_impulsos,DeltaV_ciclo_ms,DeltaV_total_ms,Propelente_sin_margen_kg,Propelente_final_kg,Masa_seca_kg,Area_frontal_m2,Masa_total_satelite_kg
2,2,3,710,43,0.98,1.02,1995.70051472891,1,15.023541554925,15.023541554925,0.0338348778278714,0.0372183656106585,4.8419763,0.155452261822381,4.87919466561066
2,2,3,750,45,0.98,1,1584.13325745004,1,7.88069638064189,7.88069638064189,0.0203081097475612,0.0223389207223173,5.5495125,0.170249232120238,5.57185142072232
2,2,3,750,45,0.98,1.02,3458.28762750707,0,15.7365429563824,0,0,0,5.5495125,0.170249232120238,5.5495125
2,2,3,770,47,0.98,1,2120.86178683226,1,8.05721799172443,8.05721799172443,0.0236572266116776,0.0260229492728454,6.3228207,0.18571879197709,6.34884364927284
2,2,3,770,47,0.98,1.02,4641.29015645102,0,16.0884256893632,0,0,0,6.3228207,0.18571879197709,6.3228207
2,2,3,790,48,0.98,1,2774.59986128716,1,8.23223094783316,8.23223094783316,0.0257480311670748,0.0283228342837823,6.7350528,0.193705792990138,6.76337563428378
2,2,3,790,48,0.98,1.02,6074.57146998212,0,16.4372731093899,0,0,0,6.7350528,0.193705792990138,6.7350528
2,2,3,820,50,0.98,1,4024.82087859136,0,8.49195604457145,0,0,0,7.6125,0.210184237185479,7.6125
2,2,3,820,50,0.98,1.02,8610.41729388644,0,16.9549228470278,0,0,0,7.6125,0.210184237185479,7.6125
2,2,3,860,52,0.98,1,6015.67617164519,0,8.83312115851277,0,0,0,8.5630272,0.227335270939815,8.5630272
2,2,3,860,52,0.98,1.02,12913.3073659424,0,17.634793815223,0,0,0,8.5630272,0.227335270939815,8.5630272
2,2,3,920,55,0.98,1,10623.0482385846,0,9.33411020645144,0,0,0,10.1322375,0.25432292699443,10.1322375
2,2,3,920,55,0.98,1.02,22367.6627114973,0,18.6329645447195,0,0,0,10.1322375,0.25432292699443,10.1322375
3,1,1,810,60,0.98,1,3838.03475915534,0,8.40575099581929,0,0,0,8.7696,0.230976854271769,8.7696
