MissionDay,Case,EccentricityVectorX,EccentricityVectorY,Eccentricity,ArgumentOfPerigee_deg,ObservedMinAltitude_km,ObservedMaxAltitude_km,ObservedVariation_km,MaxDeviationFromNominal_km,WithinMaintenanceHalfBand
149,1,-2.17817381296542e-15,0.00105443013438334,0.00105443013438334,90.0000000001184,630.477776341314,630.747440881514,0.269664540200438,0.747440881513967,1
150,1,-2.09359454429151e-15,0.00105443013438346,0.00105443013438346,90.0000000001138,630.477776341314,630.747440881512,0.269664540198619,0.747440881512148,1
151,1,-2.0023061166891e-15,0.00105443013438358,0.00105443013438358,90.0000000001088,630.477776341314,630.747440881512,0.269664540198619,0.747440881512148,1
152,1,-1.90460107418053e-15,0.00105443013438369,0.00105443013438369,90.0000000001035,630.477776341314,630.74744088151,0.269664540196686,0.747440881510215,1
153,1,-1.80079252355149e-15,0.00105443013438379,0.00105443013438379,90.0000000000979,630.477776341314,630.747440881509,0.269664540195777,0.747440881509306,1
154,1,-1.69121313096515e-15,0.00105443013438389,0.00105443013438389,90.0000000000919,630.477776341315,630.747440881509,0.269664540193958,0.747440881509306,1
155,1,-1.5762140558961e-15,0.00105443013438399,0.00105443013438399,90.0000000000857,630.477776341315,630.747440881507,0.269664540192139,0.747440881507487,1
156,1,-1.45616382580032e-15,0.00105443013438407,0.00105443013438407,90.0000000000791,630.477776341315,630.747440881506,0.269664540190206,0.747440881505554,1
157,1,-1.33144715512757e-15,0.00105443013438415,0.00105443013438415,90.0000000000723,630.477776341316,630.747440881506,0.269664540189297,0.747440881505554,1
158,1,-1.20246371246068e-15,0.00105443013438422,0.00105443013438422,90.0000000000654,630.477776341316,630.747440881505,0.269664540188387,0.747440881504644,1
159,1,-1.06962683973273e-15,0.00105443013438429,0.00105443013438429,90.0000000000581,630.477776341316,630.747440881503,0.269664540186568,0.747440881502826,1
160,1,-9.33362227626346e-16,0.00105443013438434,0.00105443013438434,90.0000000000507,630.477776341318,630.747440881503,0.269664540184635,0.747440881502826,1
161,1,-7.94106551400087e-16,0.00105443013438439,0.00105443013438439,90.0000000000432,630.477776341318,630.747440881501,0.269664540182816,0.747440881501007,1
162,1,-6.52306071513521e-16,0.00105443013438443,0.00105443013438443,90.0000000000355,630.47777634132,630.7474408815,0.269664540179974,0.747440881499983,1
163,1,-5.08415203535464e-16,0.00105443013438447,0.00105443013438447,90.0000000000276,630.47777634132,630.7474408815,0.269664540179974,0.747440881499983,1
164,1,-3.62895061918204e-16,0.00105443013438449,0.00105443013438449,90.0000000000197,630.477776341321,630.747440881498,0.269664540177246,0.747440881498164,1
165,1,-2.16211982304472e-16,0.00105443013438451,0.00105443013438451,90.0000000000118,630.477776341321,630.747440881498,0.269664540177246,0.747440881498164,1
166,1,-6.883602710244e-17,0.00105443013438452,0.00105443013438452,90.0000000000038,630.477776341323,630.747440881496,0.269664540173494,0.747440881496345,1
167,1,7.87605208820317e-17,0.00105443013438452,0.00105443013438452,89.9999999999957,630.477776341323,630.747440881496,0.269664540173494,0.747440881496345,1
168,1,2.26104671928749e-16,0.00105443013438451,0.00105443013438451,89.9999999999877,630.477776341321,630.747440881498,0.269664540177246,0.747440881498164,1
169,1,3.72724245151841e-16,0.00105443013438449,0.00105443013438449,89.9999999999797,630.477776341321,630.747440881498,0.269664540177246,0.747440881498164,1
170,1,5.18149381656499e-16,0.00105443013438446,0.00105443013438446,89.9999999999718,630.47777634132,630.7474408815,0.269664540179974,0.747440881499983,1
171,1,6.61914050254549e-16,0.00105443013438443,0.00105443013438443,89.999999999964,630.47777634132,630.7474408815,0.269664540179974,0.747440881499983,1
172,1,8.03557540913794e-16,0.00105443013438439,0.00105443013438439,89.9999999999563,630.477776341318,630.747440881501,0.269664540182816,0.747440881501007,1
173,1,9.42625941155036e-16,0.00105443013438434,0.00105443013438434,89.9999999999488,630.477776341318,630.747440881503,0.269664540184635,0.747440881502826,1
174,1,1.07867359066564e-15,0.00105443013438428,0.00105443013438428,89.9999999999414,630.477776341316,630.747440881503,0.269664540186568,0.747440881502826,1
175,1,1.21126450946806e-15,0.00105443013438422,0.00105443013438422,89.9999999999342,630.477776341316,630.747440881505,0.269664540188387,0.747440881504644,1
176,1,1.33997379506665e-15,0.00105443013438415,0.00105443013438415,89.9999999999272,630.477776341316,630.747440881506,0.269664540189297,0.747440881505554,1
177,1,1.46438898409548e-15,0.00105443013438407,0.00105443013438407,89.9999999999204,630.477776341315,630.747440881506,0.269664540190206,0.747440881505554,1
178,1,1.58411137410349e-15,0.00105443013438398,0.00105443013438398,89.9999999999139,630.477776341315,630.747440881507,0.269664540192139,0.747440881507487,1
